id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19480942,North Park Serviced Apartment Bangkok (1 Bedroom),136521136,North Park Place,,Lak Si,13.87198,100.56169,Private room,1950,28,0,,,2,356,0,
19754787,Comfy accom. 0 (BTS Saphan khwai),26736483,K,,Phaya Thai,13.78809,100.5566,Hotel room,666,1,17,2018-02-22,0.27,84,364,0,
19487052,"TiniKati Hostel, Private Room&Shared bath (2A)",135510974,Kannika,,Bang Rak,13.72679,100.53127,Private room,1340,1,25,2019-12-26,0.41,6,69,0,
19495335,Ekamai/ 4Bed+4Bath/ 6tbh fl,6906718,Anne Araya,,Vadhana,13.72256,100.5844,Hotel room,5500,1,11,2020-01-03,0.21,24,365,0,
19497285,Ladprao 23-Rachada 30 MRT Place,36043165,Janet,,Chatu Chak,13.806,100.57011,Private room,400,28,10,2021-12-03,0.16,2,336,1,
19754887,Spacious1BR4px nearMRT/DMK/Ratchada/Chatuchak/BigC,21637634,Vee,,Chatu Chak,13.80464,100.56942,Entire home/apt,800,2,68,2022-09-19,1.09,2,102,6,
19755230,Bed in female dorm. 1 minute walk to BTS station.,30352838,Tossaporn,,Phaya Thai,13.79475,100.54934,Hotel room,450,1,1,2019-03-07,0.02,7,364,0,
19500040,Vestel Bangkok,132264530,Nattavut,,Phaya Thai,13.77595,100.54427,Shared room,360,1,4,2019-08-19,0.07,2,365,0,
19755489,Easy to BTS Sky Train and stay safe just like home,136004827,Bob,,Thon buri,13.71515,100.47911,Private room,750,30,10,2018-10-07,0.17,1,365,0,
19516499,2BD 2BA/SKY TRAIN/ (BTS Onnut station) BANGKOK,59263552,Pat,,Khlong Toei,13.70668,100.60039,Private room,3439,7,0,,,1,0,0,
19757676,Nice room ready to move in next to BTS Prakanong,139405731,Thitiya,,Vadhana,13.71131,100.597,Private room,1195,14,0,,,1,365,0,
19934198,Grene Condo,141251450,จินตวัฒน์,,Lak Si,13.89503,100.55448,Private room,500,30,0,,,1,90,0,
19765583,Shared Room In Sukhumvit,92133925,Kanda,,Suanluang,13.71102,100.60698,Shared room,666,1,0,,,1,365,0,
19936635,Rama3-BRT/ Clean Private Room/ FREE wifi/ Friendly,37954370,Wachiraporn,,Yan na wa,13.69234,100.53336,Private room,600,1,1,2017-10-01,0.02,1,180,0,
19769310,Rama3 Star View Residence,138276170,Krisapong,,Bang Kho laen,13.68776,100.51889,Private room,5000,2,2,2018-12-23,0.03,2,365,0,
19937245,cityhome ratchadapisek 10,141239016,Puttipat (Peter),,Huai Khwang,13.77758,100.57492,Private room,540,15,5,2018-02-06,0.08,3,365,0,
19772349,Private Family for 4 people (Free Breakfast),139338181,Nick,,Vadhana,13.73045,100.58061,Private room,2310,1,7,2020-02-22,0.14,9,180,0,
19943259,"Nice, clean and cozy apartment room 203",141332574,Boonchawee,,Bang Kapi,13.76395,100.65368,Private room,1229,1,0,,,3,180,0,
19790950,Studio Room @The Kaze34 Hotel,64131143,Chetna,,Khlong Toei,13.72439,100.57157,Hotel room,1050,1,2,2020-01-01,0.04,3,365,0,
